name mag err
92bl 21.5 0
92J 26.61 7.93
93ac 26.19 6.78
93O 21.1 0
95ac 23.99 0.91
98eg 22.87 0.69
00ca 20.93 0.07
01ic 21.8 0
02de 20.51 0.23
02G 23.36 0.72
02hu 25.03 2.68
03D 24.11 1.6
03ic 24.70 0.36
03U 21.73 0.34
05eq 23.74 0.35
05hc 22.89 0.13
05hf 26.13 4.19
05hj 24.32 0.37
05iq 21.89 0.43
05ir 23.13 0.73
05mc 23.49 0.28
06ac 20.19 0.14
06ak 22.03 0.46
06bu 20.4 0
06bz 25.45 0.27
06en 21.04 0.19
06nz 24.41 0.32
06oa 23.64 0.19
06ob 25.44 0.48
06on 20.8 0
06os 23.31 1.05
07cq 21.51 0.19
07R 21.01 0.21
08bf 22.4 0
