name mag err
92bl 21.5 0
92J 26.61 7.93
93ac 26.19 6.78
93O 21.1 0
95ac 21.89 0.91
98eg 22.87 0.69
00ca 18.33 0.07
01ic 21.8 0
02de 18.31 0.23
02G 21.26 0.72
02hu 25.03 2.68
03D 24.11 1.6
03ic 24.70 0.36
03U 19.73 0.34
05eq 21.44 0.35
05hc 21.49 0.13
05hf 26.13 4.19
05hj 22.42 0.37
05iq 20.09 0.43
05ir 21.03 0.73
05mc 20.59 0.28
06ac 18.79 0.14
06ak 20.23 0.46
06bu 18.4 0
06bz 25.45 0.27
06en 18.34 0.19
06nz 24.41 0.32
06oa 22.24 0.19
06ob 23.34 0.48
06on 20.8 0
06os 23.31 1.05
07cq 19.61 0.19
07R 18.71 0.21
08bf 22.4 0
