name mag err
92bl 26.24 3.11
92J 24.22 0.8
93ac 24.36 0.78
93O 25.08 1.34
95ac 22.83 0.3
98eg 23.88 0.96
00ca 20.21 0.02
01ic 23.89 0.66
02de 19.80 0.09
02G 22.07 0.22
02hu 22.9 0.44
03D 21.76 0.22
03ic 24.06 0.17
03U 21.16 0.15
05eq 22.73 0.12
05hc 22.67 0.07
05hf 23.47 0.48
05hj 23.9 0.19
05iq 21.88 0.19
05ir 22.22 0.27
05mc 22.06 0.08
06ac 19.99 0.07
06ak 21.93 0.19
06bu 26.17 0.65
06bz 23.95 0.06
06en 20.08 0.07
06nz 23.06 0.09
06oa 23.63 0.12
06ob 24.49 0.19
06on 25.36 0.32
06os 22.41 0.38
07cq 21.05 0.09
07R 20.26 0.08
08bf 23.53 0.8
