name 	aper   filter corrcount correrr rawcount rawerr  mag   magerr   exp
00ca	4.08	uvm2	0.303	0.021	0.001 	10 	18.14	0.08	898.43
00ca	4.08	uvm2	0.211	0.021 	0.161	0.015	18.54	0.11 	939.57
00ca	4.08	uvm2	0.196	0.019	0.151 	0.015	18.62	0.11	926.02
00ca	4.08	uvm2	0.278	0.023	0.212	0.017	18.24	0.09	916.33
00ca	4.08	uvm2	0.271	0.021	0.206	0.016	18.27	0.08	992.68
00ca	4.08	uvm2	0.236	0.018	0.181 	0.013	18.42	0.08	990.68
00ca	4.08	uvm2	0.145	0.014	0.111 	0.011	18.95	0.11	971.93
00ca	4.08	uvm2	0.305	0.021 	0.252	0.016	18.14	0.07	944.92
00ca	4.08	uvm2	0.297	0.021 	0.237	0.016	18.17	0.07	950.85
00ca	4.08	uvm2	0.278	0.019	0.221	0.015	18.24	0.07	953.36
00ca	4.08	uvm2	0.161	0.017	0.128	0.014	18.84	0.12	1009.85
00ca	4.08	uvw1	0.551 	0.045	0.368	0.031 	18.09	0.09	671.99
01ic	2.26	uvm2	0.013	0.011 	0.011	0.009	21.59	0.83	521.18
01ic	2.26	uvw1	0.026	1 	0.018	0.023	21.42	1 	346.99
01ic	2.26	uvm2	0.016	1 	0.011	0.012	21.33	1 	285.98
01ic	2.26	uvw1	0.071	0.034	0.055	0.026	20.32	0.53	190.48
02de	3.5	uvw1	0.531	0.035	0.412	0.027	18.13	0.07	793.19
02hu	2.68	uvm2	0.012	1 	0.0024	0.0019 	21.68	1 	339.34
02hu	2.68	uvw1	0.071 	0.027	0.062	0.024	20.33	0.42	226.15
02hu	2.68	uvm2	0.027	1 	0.011	0.031	20.78	1 	46.02
02hu	2.68	uvw1	0.078	1 	-0.026	0.048	20.21	1 	30.24
02hu	2.68	uvm2	0.014	1 	-0.003	0.011 	21.45	1 	316.69
02hu	2.68	uvw1	0.025	1 	0.019	0.022	21.45	1 	211.34
02hu	2.68	uvm2	0.049	1 	0.0078	0.0341	20.11	1 	42.11
02hu	2.68	uvw1	0.093	0.088	0.082	0.077	20.02	1.03	28.33
02hu	2.68	uvm2	0.026	1 	0.0036	0.0185	20.81 	1 	106.06
02hu	2.68	uvw1	0.043	1 	0.025	0.035	20.85	1 	70.66
02hu	2.68	uvm2	0.018	1 	0.013	0.015	21.19	1 	132.64
02hu	2.68	uvw1	0.064	1 	-0.018	0.044	20.43	1 	88.35
02hu	2.68	uvm2	0.018	1 	0.0078	0.0132	21.22	1 	181.84
02hu	2.68	uvw1	0.051	0.043	0.041	0.035	20.68	0.93	121.83
03D	4.44	uvm2	0.038	0.012	0.035	0.011	20.41 	0.34	941.94
03D	4.44	uvw1	0.166	0.029	0.156	0.028	19.39	0.19	616.79
03D	4.44	uvm2	0.026	0.016	0.024	0.015	20.83	0.68	514.70
03D	4.44	uvm2	0.025	0.012	0.023	0.011	20.85	0.52	1010.04
03ic	1.82	uvm2	0.022	1 	-0.004	0.014	20.98	1 	137.57
03ic	1.82	uvw1	0.051	0.048	0.044	0.041	20.67	1.03	92.30
03ic	1.82	uvm2	0.012	1 	0.0012	0.0079	21.69	1 	335.40
03ic	1.82	uvw1	0.046	0.032	0.036	0.025	20.79	0.75	224.18
03ic	1.82	uvm2	0.011 	1 	-0.001	0.007	21.84	1 	639.48
03ic	1.82	uvw1	0.028	1 	-0.007	0.019	21.32	1 	367.42
03ic	1.82	uvm2	0.023	1 	-0.006	0.014	20.93	1 	268.49
03ic	1.82	uvw1	0.047	1 	-0.004	0.031 	20.76	1 	178.91
03ic	1.82	uvm2	0.021 	0.011 	0.014	0.007	21.11 	0.56	446.39
03ic	1.82	uvw1	0.057	0.031 	0.041 	0.021	20.56	0.57	297.76
03ic	1.82	uvm2	0.018	1 	-0.004	0.011 	21.22	1 	226.15
03ic	1.82	uvw1	0.051 	0.039	0.035	0.027	20.71 	0.85	150.36
03U	3.5	uvm2	0.038	1 	-0.061 	0.029	20.41	1 	323.12
03U	3.5	uvw1	0.062	1 	0.011 	0.053	20.46	1 	213.90
03U	3.5	uvm2	0.023	1 	-0.052	0.018	20.93	1 	750.29
03U	3.5	uvw1	0.038	1 	-0.061	0.031	20.98	1 	500.30
03U	3.5	uvm2	0.041	1 	-0.061 	0.031 	20.31	1 	232.05
03U	3.5	uvw1	0.076	1 	-0.063	0.061	20.24	1 	155.28
05eq	3.38	uvm2	0.041 	0.015	0.035	0.013	20.35	0.41	398.16
05eq	3.38	uvw1	0.103	0.037	0.092	0.033	19.91	0.39	265.30
05eq	3.38	uvm2	0.023	0.011	0.021	0.009	20.94	0.49	831.30
05eq	3.38	uvw1	0.019 	0.025	0.081	0.023	20.05	0.31 	553.79
05eq	3.38	uvm2	0.051 	0.023	0.044	0.021	20.11	0.51	248.79
05eq	3.38	uvw1	0.137	0.046	0.122	0.041	19.61 	0.37	166.11
05hc	2.22	uvm2	0.032	0.011 	0.025	0.008	20.58	0.35	691.89
05hc	2.22	uvw1	0.096	0.031 	0.072	0.023	19.99	0.34	405.82
05hc	2.22	uvm2	0.014	1 	0.0032	0.0092	21.47	1 	240.00
05hc	2.22	uvw1	0.051 	1 	-0.003	0.034	20.69	1 	160.21
05hc	2.22	uvm2	0.018	1 	-0.002	0.009	21.23	1 	163.16
05hc	2.22	uvw1	0.054	0.041	0.041 	0.031 	20.61 	0.82	109.02
05hc	2.22	uvm2	0.032	0.013	0.024	0.011 	20.61 	0.46	367.65
05hc	2.22	uvw1	0.056	0.026	0.041	0.019	20.58	0.52	244.58
05hf	2.3	uvw1	0.061 	0.031	0.061 	0.031	20.49	0.56	220.65
05hf	2.3	uvw1	0.062	0.014	0.061	0.014	20.46	0.25	1148.65
05hf	2.3	uvm2	0.031 	0.012	0.027	0.011	20.65	0.44	418.82
05hf	2.3	uvw1	0.091	0.026	0.083	0.024	20.04	0.31	278.10
05hf	2.3	uvw1	0.057	0.014	0.039	0.009	20.54	0.26	1609.03
05hj	1.76	uvm2	0.0019 	0.0041 	0.0081 	0.0035	21.96	0.48	1445.20
05hj	1.76	uvw1	0.039	0.013	0.035	0.012	20.96	0.37	965.94
05hj	1.76	uvw1	0.021 	1 	0.011 	0.013	21.71	1 	362.96
05hj	1.76	uvw1	0.022	0.018	0.015	0.012	21.56	0.88	392.47
05iq	2.9	uvm2	0.028	0.014	0.025	0.012	20.73	0.53	457.00
05iq	2.9	uvw1	0.081 	0.034	0.072	0.031	20.19	0.47	303.47
05iq	2.9	uvm2	0.033	0.006	0.029	0.006	20.56	0.21	2193.69
05iq	2.9	uvw1	0.025	0.014	0.022	0.013	21.46	0.64	1463.38
