name aper filter corrcount correrr rawcount rawerr mag magerr exp
00dn	7.9	uvm2	0.064	0.021 0.057	0.017	19.83	0.33	1166.96
00dn	7.9	uvw1	0.073	1 -0.042	0.064	20.28	1 658.33
00dn	7.9	uvw1	0.648	0.131	0.457	0.092	17.91	0.22	62.75
00fa	11.95	uvm2	2.037	0.078	1.799	0.069	16.08	0.04	420.58
00fa	11.95	uvw1	8.157	0.119 7.241	0.168	15.16	0.03	280.80
00fa	11.95	uvm2	1.533	0.105	1.342	0.092	16.39	0.07	276.34
00fa	11.95	uvw1	5.727	0.269	5.038	0.236	15.55	0.05	183.83
00fa	11.95	uvm2	1.864	0.071	1.596	0.061 16.17	0.04	618.39
00fa	11.95	uvw1	6.733	0.173	5.781	0.148	15.37	0.03	412.69
01br	11.95	uvm2	0.144	0.031	0.121	0.026	18.95	0.24	1303.96
01br	11.95	uvw1	0.969	0.071	0.814	0.061 17.47	0.08	869.93
01cp	11.45	uvm2	0.062	1 -0.066	0.051	19.86	1 258.64
01cp	11.45	uvw1	0.139	1 0.021 0.122	19.58	1 173.00
01cp	11.45	uvm2	0.053	0.033	0.046	0.029	20.03	0.67	777.83
01cp	11.45	uvw1	0.086	1 0.051 0.075	20.11 1 519.03
01cp	11.45	uvm2	0.054	1 0.042	0.047	20.01	1 232.04
01cp	11.45	uvw1	0.434	0.162	0.379	0.141	18.35	0.41 155.28
01cp	11.45	uvm2	0.051 1 0.013	0.043	20.09	1 336.14
01cp	11.45	uvw1	0.295	0.131 0.257	0.114	18.76	0.48	223.98
02eb	9	uvm2	0.123	0.025	0.109	0.022	19.13	0.22	947.34
02eb	9	uvw1	0.309	0.059	0.278	0.053	18.71	0.21	631.38
02eb	9	uvm2	0.086	0.035	0.077	0.031	19.52	0.44	550.49
02eb	9	uvw1	0.264	0.096	0.237	0.086	18.89	0.39	368.42
02el	8.45	uvm2	0.047	1 0.0022	0.0384	20.17	1 168.06
02el	8.45	uvw1	0.135	1 0.099	0.119	19.62	1 111.98
02el	8.45	uvm2	0.044	1 -0.036	0.035	20.25	1 304.87
02el	8.45	uvw1	0.084	1 0.058	0.073	20.13	1 202.53
02el	8.45	uvm2	0.048	0.035	0.042	0.031 20.14	0.78	498.74
02el	8.45	uvw1	0.135	1 -0.095	0.113	19.62	1 257.65
03W	12.55	uvw1	6.754	0.154	4.651 0.105	15.37	0.02	583.13
04at	10.95	uvw1	0.856	0.082	0.603	0.058	17.61	0.11 825.08
04ef	8.15	uvm2	0.269	0.023	0.238	0.021 18.28	0.09	1186.88
04ef	8.15	uvw1	0.563	0.052	0.502	0.047	18.06	0.11 789.23
04ef	8.15	uvm2	0.228	0.078	0.201	0.069	18.46	0.37	127.73
04ef	8.15	uvw1	0.625	0.155	0.557	0.138	17.95	0.27	85.41
05bg	10.95	uvm2	4.109	0.196	2.796	0.133	15.32	0.05	194.42
06et	11.45	uvm2	0.353	0.038	0.351	0.037	17.98	0.12	684.63
06et	11.45	uvw1	1.384	0.083	1.378	0.083	17.09	0.07	568.07
06et	11.45	uvm2	0.341	0.029	0.339	0.028	18.02	0.09	1285.15
06et	11.45	uvw1	1.607	0.064	1.601 0.063	16.93	0.04	916.37
06et	11.45	uvm2	0.354	0.019	0.351 0.019	17.98	0.06	2129.14
06et	11.45	uvw1	1.657	0.043	1.648	0.043	16.89	0.03	1587.21
06et	11.45	uvm2	0.364	0.017	0.361	0.017	17.95	0.05	2680.37
06et	11.45	uvw1	1.662	0.039	1.653	0.039	16.89	0.03	1935.68
06et	11.45	uvm2	0.372	0.013	0.363	0.013	17.92	0.04	6122.22
06et	11.45	uvw1	1.559	0.031	1.532	0.031 16.96	0.02	4313.07
06et	11.45	uvm2	0.374	0.022	0.347	0.021 17.92	0.06	2040.41
07qe	10.5	uvm2	0.122	0.037	0.093	0.028	19.13	0.33	688.28
07qe	10.5	uvw1	0.493	0.019 0.372	0.068	18.21	0.21 458.96
07qe	10.5	uvm2	0.085	0.042	0.065	0.032	19.53	0.53	514.30
07qe	10.5	uvw1	0.208	0.153	0.157	0.115	19.15	0.81 342.04
07qe	10.5	uvm2	0.063	0.016	0.051 0.013	19.86	0.28	2894.37
08Q	32.4	uvm2	0.166	0.095	0.161 0.091	18.81 0.62	971.14
08Q	32.4	uvw1	1.077	0.261 1.039	0.251	17.36	0.26	782.53
08Q	32.4	uvm2	0.122	1 0.071	0.116	19.13	1 459.26
08Q	32.4	uvw1	1.416	0.383	1.367	0.371 17.06	0.29	326.06
08Q	32.4	uvw1	0.604	1 -0.084	0.384	17.99	1 270.44
