name aper filter tx mag ba erstat tx1 bb ersys tx2 exp dist type
ASASSN13ch  5.88043  uvm2          Source: 17.89 +/- 0.08 (stat) +/- 0.03 (sys)  1281.30 74.38 nuvr
ASASSN13ch  5.88043  uvw1          Source: 17.80 +/- 0.15 (stat) +/- 0.03 (sys)  443.91 74.38 nuvr
ASASSN13dd  3  uvw1          Source: 19.21 +/- 0.13 (stat) +/- 0.03 (sys)  841.44 56.6 nuvr
ASASSN13dd  3  uvw1          Source: 19.18 +/- 0.10 (stat) +/- 0.03 (sys)  1699.09 56.6 nuvr
ASASSN14ad  3  uvm2          Source: 19.62 +/- 0.16 (stat) +/- 0.03 (sys)  1551.68 119.6 nuvr
ASASSN14ad  3  uvw1          Source: 19.52 +/- 0.21 (stat) +/- 0.03 (sys)  610.48 119.6 nuvr
ASASSN14ar  4.1434  uvw1          Source: 18.13 +/- 0.18 (stat) +/- 0.03 (sys)  133.62 101.43 NN
ASASSN15aj  8.56169  uvm2          Source: 17.51 +/- 0.08 (stat) +/- 0.03 (sys)  999.65 47.79 nuvr
ASASSN15aj  8.56169  uvw1          Source: 16.39 +/- 0.06 (stat) +/- 0.03 (sys)  366.64 47.79 nuvr
ASASSN15od  5.23987  uvm2          Source: 16.82 +/- 0.06 (stat) +/- 0.03 (sys)  479.92 78.89 nuvb
ASASSN15od  5.23987  uvw1          Source: 16.72 +/- 0.06 (stat) +/- 0.03 (sys)  353.64 78.89 nuvb
ASASSN15pz  6.26478  uvm2          Source: 19.03 +/- 0.20 (stat) +/- 0.03 (sys)  772.36 65.5 S
ASASSN15rq  3.80508  uvm2          Source: 19.37 +/- 0.20 (stat) +/- 0.03 (sys)  654.16 110.53 S
ASASSN15rw  4.72743  uvm2          Source: 18.89 +/- 0.16 (stat) +/- 0.03 (sys)  749.25 87.88 B
ASASSN16dx  3  uvm2          Source: 17.00 +/- 0.07 (stat) +/- 0.03 (sys)  788.93 133.45 .
ASASSN16dx  3  uvw1          Source: 16.98 +/- 0.08 (stat) +/- 0.03 (sys)  315.47 133.45 .
ASASSN16hr  3  uvm2          Source: 18.70 +/- 0.17 (stat) +/- 0.03 (sys)  576.64 180.14 nuvr
ASASSN16hr  3  uvw1          Source: 18.29 +/- 0.15 (stat) +/- 0.03 (sys)  351.43 180.14 nuvr
ASASSN16ip  3  uvw1          Source: 18.37 +/- 0.14 (stat) +/- 0.03 (sys)  320.39 74.4 nuvb
ASASSN17er  6.32271  uvm2          Source: 17.77 +/- 0.11 (stat) +/- 0.03 (sys)  453.06 65.49 .
ASASSN17er  6.32271  uvw1          Source: 16.81 +/- 0.12 (stat) +/- 0.03 (sys)  117.87 65.49 .
ASASSN17ez  3  uvm2          Source: 19.61 +/- 0.21 (stat) +/- 0.03 (sys)  864.03 83.38 .
ASASSN17mz  3  uvm2          Source: 17.44 +/- 0.07 (stat) +/- 0.03 (sys)  1307.16 43.37 .
ASASSN17mz  3  uvw1          Source: 17.05 +/- 0.07 (stat) +/- 0.03 (sys)  498.07 43.37 .
LSQ11ot  3.66319  uvw1          Source: 19.41 +/- 0.20 (stat) +/- 0.03 (sys)  565.49 115.09  .
LSQ13crf  1.65369  uvw1          Source: 18.92 +/- 0.13 (stat) +/- 0.03 (sys)  1810.05 272.12 nuvr
PS14xw  4.72743  uvw1          Source: 19.90 +/- 0.18 (stat) +/- 0.03 (sys)  1925.88 87.88 B
PS15cku  4.12589  uvm2          Source: 17.31 +/- 0.06 (stat) +/- 0.03 (sys)  994.46 101.44 nuvr
PS15cku  4.12589  uvw1          Source: 17.36 +/- 0.09 (stat) +/- 0.03 (sys)  371.32 101.44 nuvr
sn2005am  11.6458  uvm2          Source: 17.21 +/- 0.05 (stat) +/- 0.03 (sys)  1161.24 34.63 NN
sn2005am  11.6458  uvw1          Source: 16.20 +/- 0.03 (stat) +/- 0.03 (sys)  773.41 34.63 NN
sn2005cf  14.3069  uvw1          Source: 17.78 +/- 0.10 (stat) +/- 0.03 (sys)  827.54 30.25 nuvr
